"time (s)","wave_55()"
2.82E-7,0.8379
2.82E-7,0.8379
2.82E-7,0.8379
2.82E-7,0.8379
2.82E-7,0.8379
2.821E-7,0.8379
2.821E-7,0.8379
2.821E-7,0.8379
2.821E-7,0.8379
2.821E-7,0.8379
2.821E-7,0.8379
2.821E-7,0.8379
2.821E-7,0.8379
2.821E-7,0.8379
2.821E-7,0.8379
2.821E-7,0.8379
2.821E-7,0.8379
2.821E-7,0.8379
2.821E-7,0.8379
2.821E-7,0.8379
2.821E-7,0.8379
2.821E-7,0.8379
2.821E-7,0.8379
2.821E-7,0.8379
2.821E-7,0.8379
2.821E-7,0.8379
2.821E-7,0.8379
2.821E-7,0.8379
2.821E-7,0.8379
2.822E-7,0.8379
2.822E-7,0.8379
2.822E-7,0.8379
2.822E-7,0.8379
2.822E-7,0.8379
2.822E-7,0.8379
2.822E-7,0.8379
2.822E-7,0.8379
2.822E-7,0.8379
2.822E-7,0.8379
2.822E-7,0.8379
2.822E-7,0.8379
2.822E-7,0.8379
2.822E-7,0.8379
2.822E-7,0.8379
2.822E-7,0.8379
2.822E-7,0.8379
2.822E-7,0.8379
2.823E-7,0.8379
2.823E-7,0.8379
2.823E-7,0.8379
2.823E-7,0.8379
2.823E-7,0.8379
2.823E-7,0.8379
2.823E-7,0.8379
2.823E-7,0.8379
2.823E-7,0.8379
2.823E-7,0.8379
2.823E-7,0.8379
2.823E-7,0.8379
2.823E-7,0.8379
2.823E-7,0.8379
2.823E-7,0.8379
2.823E-7,0.8379
2.823E-7,0.8379
2.823E-7,0.8379
2.823E-7,0.8379
2.823E-7,0.8379
2.823E-7,0.8379
2.823E-7,0.8379
2.823E-7,0.8379
2.824E-7,0.8379
2.824E-7,0.8379
2.824E-7,0.8379
2.824E-7,0.8379
2.824E-7,0.8379
2.824E-7,0.8379
2.824E-7,0.8379
2.824E-7,0.8379
2.824E-7,0.8379
2.824E-7,0.8379
2.824E-7,0.8379
2.824E-7,0.8379
2.824E-7,0.8379
2.824E-7,0.8379
2.824E-7,0.8379
2.824E-7,0.8379
2.824E-7,0.8379
2.824E-7,0.8379
2.824E-7,0.8379
2.824E-7,0.8379
2.824E-7,0.8379
2.824E-7,0.8379
2.824E-7,0.8379
2.824E-7,0.8379
2.825E-7,0.8379
2.825E-7,0.8379
2.825E-7,0.8379
2.825E-7,0.8379
2.825E-7,0.8379
2.825E-7,0.8379
2.825E-7,0.8379
2.825E-7,0.8379
2.825E-7,0.8379
2.825E-7,0.8379
2.825E-7,0.8379
2.825E-7,0.8379
2.825E-7,0.8379
2.825E-7,0.8379
2.825E-7,0.8379
2.825E-7,0.8379
2.825E-7,0.8379
2.825E-7,0.8379
2.825E-7,0.8379
2.825E-7,0.8379
2.825E-7,0.8379
2.825E-7,0.8379
2.825E-7,0.8379
2.826E-7,0.8379
2.826E-7,0.8379
2.826E-7,0.8379
2.826E-7,0.8379
2.826E-7,0.8379
2.826E-7,0.8379
2.826E-7,0.8379
2.826E-7,0.8379
2.826E-7,0.8379
2.826E-7,0.8379
2.826E-7,0.8379
2.826E-7,0.8379
2.826E-7,0.8379
2.826E-7,0.8379
2.826E-7,0.8379
2.826E-7,0.8379
2.826E-7,0.8379
2.826E-7,0.8379
2.826E-7,0.8379
2.826E-7,0.8379
2.826E-7,0.8379
2.826E-7,0.8379
2.826E-7,0.8379
2.826E-7,0.8379
2.827E-7,0.8379
2.827E-7,0.8379
2.827E-7,0.8379
2.827E-7,0.8379
2.827E-7,0.8379
2.827E-7,0.8379
2.827E-7,0.8379
2.827E-7,0.8379
2.827E-7,0.8379
2.827E-7,0.8379
2.827E-7,0.8379
2.827E-7,0.8379
2.827E-7,0.8379
2.827E-7,0.8379
2.827E-7,0.8379
2.827E-7,0.8379
2.827E-7,0.8379
2.827E-7,0.8379
2.828E-7,0.8379
2.828E-7,0.8379
2.828E-7,0.8379
2.828E-7,0.8379
2.828E-7,0.8379
2.828E-7,0.8379
2.828E-7,0.8379
2.828E-7,0.8379
2.828E-7,0.8379
2.828E-7,0.8379
2.828E-7,0.8379
2.828E-7,0.8379
2.828E-7,0.8379
2.828E-7,0.8379
2.828E-7,0.8379
2.828E-7,0.8379
2.828E-7,0.8379
2.828E-7,0.8379
2.828E-7,0.8379
2.828E-7,0.8379
2.828E-7,0.8379
2.828E-7,0.8379
2.828E-7,0.8379
2.829E-7,0.8379
2.829E-7,0.8379
2.829E-7,0.8379
2.829E-7,0.8379
2.829E-7,0.8379
